ingredient_id,ingredient,wellness_goal_domains,peptide_axis_matches,example_peptide_stacks,role,wellness_trigger_allowed,fires_when_any,confidence_modifiers,evidence_label,hard_stop_or_gate,do_not_claim,source_ids
IVING_HYDRATION_FLUID,0.9% saline / hydration base,energy_if_low_intake; GLP1_tolerance_support; travel_recovery; exercise_recovery,metabolic_incretin_GLP1_GIP_glucagon; general_wellness,retatrutide; semaglutide/tirzepatide; GLP1/GIP + wellness support,hydration_support,True,client_wants_energy_with_low_intake; nausea_vomiting; diarrhea; orthostasis; heat_exposure; post_travel,low_oral_intake; GI_symptoms; orthostasis; heat_exposure,W2 symptom/volume-support; not peptide enhancement,fluid_overload; CHF; advanced_CKD_ESRD; severe_uncontrolled_BP,increases peptide weight loss; needed for all peptide patients,SRC_MSD_MYERS_LIMITS
IVING_B_COMPLEX,B-complex,energy; focus; stress_support; metabolic_support,mitochondrial_energy; neuro_focus; metabolic_weight_management; GH_recovery,MOTS-c + SS-31; Semax/Selank/DSIP; retatrutide + MIC support; GH-axis recovery stack,energy_metabolism_cofactor_support,True,client_wants_energy; client_wants_focus; low_intake; weight_management_program; fatigue_recovery_goal,low_intake; restricted_diet; fatigue; metformin_or_PPI_context_for_B12_component,W2 biologic wellness rationale; stronger if deficiency risk exists,allergy_history_missing; prior_reaction,guaranteed energy; proven peptide potentiator,SRC_NIH_ODS_B12_HP; SRC_MSD_MYERS_LIMITS
IVING_METHYLCOBALAMIN_B12,Methylcobalamin / B12,energy; focus; metabolic_support; neurologic_wellness,metabolic_weight_management; neuro_focus; mitochondrial_energy,retatrutide + B12/MIC; Semax/Selank/DSIP; MOTS-c + NAD support,energy_neurologic_support,True,client_wants_energy; client_wants_focus; client_on_weight_management_stack; low_intake,metformin_use; PPI_use; vegan_or_restricted_diet; post_bariatric_history; macrocytosis; neuropathy,W2 wellness support allowed; A when deficiency/risk present,known_hypersensitivity; incomplete_allergy_history,B12 makes GLP-1 work better; guaranteed energy,SRC_NIH_ODS_B12_HP
IVING_NAD_PLUS,NAD+ IV,energy; fatigue_recovery; mitochondrial_support; longevity_wellness,mitochondrial_energy; MOTS_c_SS31_Epitalon; fatigue_recovery,MOTS-c + SS-31 ± Epitalon; MOTS-c + tesamorelin/ipamorelin; mitochondrial longevity stack,NAD_pathway_support,True,client_wants_energy; client_wants_mitochondrial_support; provider_selected_NAD_pathway; fatigue_recovery_goal,mitochondrial_axis_stack; fatigue_recovery_goal; no_unstable_CV_symptoms,W3 preliminary IV tolerability / mechanistic support; outcome evidence limited,active_chest_pain; unstable_arrhythmia; syncope; hypoxia; active_malignancy_review_needed; pregnancy_lactation_review,proven anti-aging; guaranteed energy; proven MOTS-c synergy,SRC_FRONTIERS_NR_NAD_IV_2026; SRC_MOTSC_REVIEW_2023; SRC_SS31_REVIEW_PMC
IVING_NIAGEN_NR,Niagen / nicotinamide riboside chloride / NR,energy; fatigue_recovery; mitochondrial_support; longevity_wellness,mitochondrial_energy; MOTS_c_SS31_Epitalon; NAD_precursor_support,MOTS-c + SS-31 ± Epitalon; MOTS-c + AOD + tesamorelin/ipamorelin,NAD_precursor_support,True,client_wants_energy; client_wants_NAD_precursor; mitochondrial_axis_stack; provider_selected_NR_pathway,mitochondrial_axis_stack; preference_for_shorter_NR_infusion_context; no_red_flags,W3/B-C preliminary IV tolerability; not proven energy outcome,active_chest_pain; unstable_arrhythmia; syncope; hypoxia; significant_liver_disease_review; advanced_CKD_review; active_malignancy_review; pregnancy_lactation_review,same as NAD+ IV; proven anti-aging; guaranteed energy; proven peptide synergy,SRC_FRONTIERS_NR_NAD_IV_2026; SRC_NIAGEN_IDENTITY
IVING_GLUTATHIONE,Glutathione IV push,skin_glow; redox_support; detox_wellness_language; mitochondrial_support,GHK_Cu_skin_ECM; mitochondrial_redox; immune_inflammatory_wellness; MOTS_c_SS31,GHK-Cu + beauty support; MOTS-c + SS-31; Thymosin/KPV/LL-37 support,antioxidant_redox_support,True,client_wants_skin_glow; client_wants_redox_support; client_wants_energy_mitochondrial_support; provider_selected_antioxidant_support,oxidative_stress_context; skin_goal; mitochondrial_axis_stack,W3 mechanistic antioxidant support; outcome evidence limited,active_asthma_exacerbation; prior_glutathione_reaction; sulfite_sensitivity; new_rash_recent_allergy,detoxes disease; proven skin lightening; proven peptide synergy,SRC_MSD_MYERS_LIMITS; SRC_GHK_CU_REVIEW_PMC
IVING_VITAMIN_C,Vitamin C,skin_collagen_support; immune_wellness; redox_support; beauty_glow,GHK_Cu_skin_ECM; BPC_TB500_tissue_repair; immune_wellness; skin_hair_nail,GHK-Cu + biotin beauty; BPC-157/TB-500/GHK-Cu repair; KPV/LL-37/TA1 immune support,collagen_redox_nutrient_support,True,client_wants_better_skin; client_wants_glow; client_wants_immune_wellness; client_wants_repair_recovery,low_fruit_vegetable_intake; skin_ECM_goal; wound_repair_nutrition_context,W2 collagen biology support; IV outcome not guaranteed,G6PD_deficiency_if_high_dose; unknown_G6PD_if_high_dose_required; CKD; oxalate_stone_history; hemochromatosis_iron_overload_review,guaranteed collagen; proven GHK-Cu synergy; treats infection,SRC_NIH_ODS_VITAMIN_C_HP; SRC_GHK_CU_REVIEW_PMC
IVING_BIOTIN,Biotin,hair; skin; nails; beauty_glow,GHK_Cu_skin_ECM; skin_hair_nail; beauty_aesthetic,GHK-Cu + Biotin; GHK-Cu + Beauty/Glow IV; BPC/TB500/GHK-Cu aesthetic-repair stack,hair_skin_nail_wellness_support,True,client_wants_better_hair; client_wants_stronger_nails; client_wants_skin_glow; provider_selected_aesthetic_protocol,brittle_nails; hair_shedding; restricted_diet; post_bariatric_history; low_intake,W2/W3 wellness aesthetic support; stronger only with deficiency/risk; nondeficient outcome limited,possible_ACS_or_troponin_testing; upcoming_thyroid_hormone_immunoassays; high_biotin_exposure_not_documented,guaranteed hair growth; proven GHK-Cu synergy; reverses alopecia,SRC_NIH_ODS_BIOTIN_HP; SRC_FDA_BIOTIN_LAB_INTERFERENCE; SRC_GHK_CU_REVIEW_PMC
IVING_MAGNESIUM,Magnesium,energy; calm; muscle_recovery; sleep_support; migraine_tension_support,GH_recovery; neuro_calm_sleep; mitochondrial_energy; Semax_Selank_DSIP,Semax/Selank/DSIP neuro-calm; GH-axis recovery stack; MOTS-c energy stack,energy_neuromuscular_cofactor_support,True,client_wants_calm; client_wants_sleep_recovery; client_wants_muscle_recovery; cramps_tension; migraine_phenotype,cramps; migraine; stress_tension; low_magnesium_risk,W2 biologic wellness support; safety screen essential,eGFR_low; renal_failure; dialysis; myasthenia_gravis; advanced_AV_block; significant_hypotension,treats anxiety; treats insomnia; proven Semax/Selank synergy,SRC_NIH_ODS_MAGNESIUM_HP
IVING_AMINO_BLEND,Amino blend,recovery; performance; lean_support; repair_wellness,GH_IGF1_recovery; BPC_TB500_repair; body_composition; AOD_MOTS_TesaIpa,tesamorelin/ipamorelin; BPC-157/TB-500; AOD/MOTS-c/Tesa/Ipa,recovery_nutrition_support,True,client_wants_recovery; client_wants_performance; client_wants_lean_support; training_load; body_composition_goal,low_protein_intake; high_training_load; poor_recovery; sarcopenia_risk,W3 wellness recovery support; not peptide outcome proof,advanced_CKD; active_hepatic_disease; hepatic_encephalopathy; amino_acid_metabolism_disorder,potentiates GH peptides; guarantees muscle gain; accelerates wound healing,SRC_TESAMORELIN_DAILYMED; SRC_MSD_MYERS_LIMITS
IVING_L_CARNITINE,L-carnitine,energy; fat_metabolism_support; performance; body_composition,metabolic_body_composition; AOD_MOTS_TesaIpa; GLP1_weight_management,AOD-9604 + MOTS-c + tesamorelin/ipamorelin; retatrutide weight-management support,fatty_acid_metabolism_wellness_support,True,client_wants_energy; client_wants_body_composition; client_wants_performance; provider_selected_metabolic_support,structured_weight_management_program; training_program; fatigue_goal,W3 biologic/metabolic rationale; outcome evidence limited,seizure_disorder_review; advanced_CKD_review; medication_list_incomplete,guaranteed fat loss; proven GLP-1 support; proven AOD synergy,SRC_MSD_MYERS_LIMITS
IVING_TAURINE,Taurine,calm; focus; muscle_recovery; metabolic_support,neuro_calm_sleep; GH_recovery; body_composition,Semax/Selank/DSIP; AOD/MOTS/Tesa/Ipa; GH recovery stack,neuro_muscle_osmolyte_wellness_support,True,client_wants_calm_focus; client_wants_recovery; stress_recovery; performance_support,stress_tension; training_load,W3 mechanistic wellness support; direct peptide evidence absent,severe_renal_or_hepatic_disease_review; medication_list_incomplete,treats anxiety; proven nootropic synergy,SRC_MSD_MYERS_LIMITS
IVING_MIC,MIC / lipotropic blend,body_composition; metabolic_support; energy,GLP1_weight_management; AOD_MOTS_TesaIpa; body_composition,AOD-9604 + MOTS-c + Tesa/Ipa; retatrutide + metabolic support,lipotropic_wellness_support,True,client_wants_body_composition; client_wants_metabolic_support; structured_weight_management_program,low_intake; B12_risk; weight_management_program,W4/W3 market-common wellness support; outcome evidence limited,pregnancy_lactation_review; hepatic_dysfunction_review; gallbladder_active_disease_review; sulfite_sensitivity,melts fat; boosts GLP-1; proven AOD synergy,SRC_MSD_MYERS_LIMITS; SRC_NIH_ODS_B12_HP
IVING_ZINC_TRACE_MINERALS,Zinc / trace mineral blend,immune_wellness; skin; repair; hair_nails,immune_modulatory; GHK_Cu_skin_ECM; BPC_TB500_repair,KPV/LL-37/TA1; GHK-Cu skin; BPC/TB500/GHK-Cu,trace_element_wellness_support,True,client_wants_immune_wellness; client_wants_skin_hair_nails; client_wants_recovery_repair; provider_selected_trace_support,restricted_diet; low_intake; wound_repair_nutrition_context,W3 nutrient support; avoid outcome overclaim,standalone_zinc_selenium_same_session_with_trace_blend; copper_or_manganese_accumulation_risk; CKD_or_hepatic_disease_review,treats infection; boosts immune peptides; guaranteed hair growth,SRC_MSD_MYERS_LIMITS
IVING_COQ10,CoQ10 IM / mitochondrial support,energy; mitochondrial_support; cardio_wellness; performance,MOTS_c_SS31_Epitalon; mitochondrial_energy,MOTS-c + SS-31; MOTS-c + Epitalon longevity,mitochondrial_electron_transport_support,True,client_wants_energy; mitochondrial_support_request; provider_selected_mitochondrial_support,statin_myalgia_context_provider_review; energy_goal,W3 biologic support; route/formulation specific,oil_based_IV_route_forbidden; warfarin_or_anticoagulation_review; grapeseed_oil_allergy_if_formulated,proven SS-31 synergy; guaranteed energy,SRC_MSD_MYERS_LIMITS
IVING_NAC,N-acetyl cysteine / NAC,redox_support; glutathione_precursor; respiratory_wellness,mitochondrial_redox; immune_inflammatory; detox_liver_wellness,MOTS-c + SS-31; KPV/LL-37/TA1; detox/liver support stack,glutathione_precursor_redox_support,True,client_wants_redox_support; client_wants_respiratory_wellness; provider_selected_antioxidant_support,oxidative_stress_context,W3 redox wellness support; not disease treatment,active_asthma_exacerbation; prior_NAC_reaction; acute_respiratory_distress,treats lung disease; detoxifies disease; proven peptide synergy,SRC_MSD_MYERS_LIMITS
IVING_VITAMIN_D3,Vitamin D3 IM,bone_wellness; immune_wellness; mood_wellness,general_wellness; recovery; body_composition_support,GH-axis recovery stack; general longevity stack,fat_soluble_vitamin_wellness_support,True,client_wants_bone_wellness; client_wants_immune_wellness; provider_selected_vitamin_D_support,low_25OH_vitamin_D; limited_sun_exposure; malabsorption; bone_health_protocol,W2 if low/risk; W3 general wellness support,hypercalcemia; sarcoidosis_granulomatous_disease; nephrolithiasis_history; CKD_review,weight loss; proven peptide support,SRC_MSD_MYERS_LIMITS
